item_name,sku,brand,category,size_display,unit_size_ml,uom,bottles_per_case,on_hand,low_threshold,vendor,cost_per_unit,sell_price,inventory_ml,missing_item_name,missing_size,active
1800 Anejo,,,Tequila,,,,1.0,1.0,2.0,,,,,False,True,True
1800 Blanco,,,Tequila,,,,1.0,1.0,2.0,,,,,False,True,True
Absolut,,,Vodka,,,,1.0,1.0,2.0,,,,,False,True,True
Angel's Envy,,,Whiskey,,,,1.0,2.0,2.0,,,,,False,True,True
Bacardi Black,,,Rum,,,,1.0,3.0,2.0,,,,,False,True,True
Bacardi Blanca,,,Rum,,,,1.0,10.0,2.0,,,,,False,True,True
Bacardi Coconut,,,Rum,,,,1.0,2.0,2.0,,,,,False,True,True
Bacardi Spiced,,,Rum,,,,1.0,3.0,2.0,,,,,False,True,True
Basil Hayden,,,Whiskey,,,,1.0,14.0,2.0,,,,,False,True,True
Basil Hayden Bourbon 10,,,Whiskey,,,,1.0,1.0,2.0,,,,,False,True,True
Beefeater,,,Gin,,,,1.0,1.0,2.0,,,,,False,True,True
Belvedere,,,Vodka,,,,1.0,1.0,2.0,,,,,False,True,True
Bombay Sapphire,,,Gin,,,,1.0,1.0,2.0,,,,,False,True,True
Bondstown,,,Whiskey,,,,1.0,1.0,2.0,,,,,False,True,True
Bowmore 15,,,Whiskey,,,,1.0,1.0,2.0,,,,,False,True,True
Buffalo Trace,,,Whiskey,,,,1.0,2.0,2.0,,,,,False,True,True
Bulleit Bourbon,,,Whiskey,,,,1.0,24.0,2.0,,,,,False,True,True
Bulleit Bourbon 10 Year,,,Whiskey,,,,1.0,1.0,2.0,,,,,False,True,True
Bulleit Rye,,,Whiskey,,,,1.0,4.0,2.0,,,,,False,True,True
Captain Morgan,,,Rum,,,,1.0,1.0,2.0,,,,,False,True,True
Casamigos Anejo,,,Tequila,,,,1.0,11.0,2.0,,,,,False,True,True
Casamigos Blanco,,,Tequila,,,,1.0,17.0,2.0,,,,,False,True,True
